gram	#words	#occurrences	example1	example2	example3
.E┤	5	36	Ü.E	U.E	voorU.E
pa┤	13	35	Laxamapa	Wangsadiepa	Europa
ed┤	19	35	aed	beslooted	ged
├wt┤	1	35	wt
├r┤	1	35	r
80┤	17	35	280	180	1080
ep┤	21	34	diep	roep	eep
├Va┤	1	34	Va
60┤	20	34	21060	160	260
oy┤	20	34	Sithoy	convoy	Massavoy
30┤	15	34	130	1130	230
├/*┤	1	33	/*
cn┤	31	33	gebruyckcn	aengecomcn	acn
├«┤	1	33	«
li┤	23	33	oorlogli	Petapouli	Pipeli
rp┤	6	30	scharp	scherp	dorp
ul┤	21	30	soul	titul	Wasul
ux┤	4	30	soubsoueux	stux	slux
dl┤	17	29	stadl	Godl	vyandl
ën┤	10	29	natiën	actiën	indiciën
├i┤	1	29	i
fl┤	26	29	heeffl	belooffl	wyfl
├45┤	1	28	45
ng┤	18	27	bemaehting	Erang	lading
oc┤	13	27	hoc	Bancoc	Prescorneoc
bs┤	13	27	Sondagbs	langbs	daegbs
ym┤	3	26	ruym	duym	scheepsruym
ui┤	5	26	ambassadeui	Nangesacqui	Nangasacqui
├•┤	1	26	•
41┤	10	26	1641	2341	/'1741
ro┤	17	26	Guaro	Pedro	Quatro
ea┤	16	26	cassea	lignea	gecomea
ob┤	2	25	Jacob	Nabob
up┤	5	25	troup	chaloup	saloup
ET┤	3	25	TUANSLAET	TRANSLAET	PLACCAET
├35┤	1	25	35
wt┤	10	25	gebouwt	vernieuwt	getrouwt
ua┤	19	24	Laxamaua	saboua	Atoua
72┤	20	24	26661272	19272	472
├P┤	1	24	P
vo┤	3	23	salvo	novo	Novo
rn┤	13	23	Ihoorn	toorn	torn
hl┤	22	23	beschadighl	volghl	vercochl
ti┤	16	23	wieti	vrQleti	halgiscifti
gu┤	3	23	Pegu	naerPegu	sagu
sé┤	1	23	passé
^2┤	14	23	5^2	7^2	1^2
├90┤	1	22	90
ld┤	10	22	onthield	toehield	behield
ni┤	17	22	Kenocouni	Anthoni	Matavani
├36┤	1	22	36
├h┤	1	22	h
├'┤	1	21	'
ka┤	7	21	Paducka	Welgaka	Boleka
74┤	17	21	174	34474	5374
cs┤	10	21	Conincs	arracs	Gonincs
fi┤	7	20	ffi	haddïffi	bleefi
12┤	16	20	112	83709.1.12	3512
├af┤	1	20	af
ef┤	14	20	massief	gerief	lief
kl┤	11	19	Coninckl	gemaeckl	genootsaeckl
^^┤	7	19	^^^^^	^^^	®°^^
't┤	11	18	van't	Nae't	om't
├A┤	1	18	A
fe┤	5	18	stoffe	straffe	deselfe
bj┤	6	18	Lolobj	Hatibj	Jambj
yp┤	4	18	ryp	Ryp	gryp
sl┤	12	17	Weslcusl	spoedighsl	inisl
lh┤	11	17	gebelh	beselh	Kivilh
no┤	9	17	gouverno	Anno	Sannickedonno
lp┤	4	17	behulp	l)ehulp	hielp
├34┤	1	17	34
nc┤	7	17	importanc	santbanc	Coninc
├38┤	1	17	38
02┤	11	16	202	102	6202
15┤	14	16	6702:15	70882.1.15	10.2.15
uy┤	8	16	besluy	Tamsuy	wederuy
so┤	6	16	Alonso	also	Bongso
├IS┤	1	16	IS
VE┤	1	16	MISSIVE
70┤	11	16	142470	370	1170
├75┤	1	15	75
├42┤	1	15	42
13┤	13	15	213	19832.13	148579.11.13
├%┤	1	15	%
├37┤	1	15	37
im┤	9	15	Tounalim	Tonalim	Jocksim
├m┤	1	15	m
75┤	11	15	120975	2075	125375
05┤	7	15	305	42705	205
ll┤	11	14	werrell	betaell	gestell
11┤	12	14	1211	111	.11
ii┤	14	14	maendaii	vaii	gelieffdeii
lf┤	10	14	bleelf	brieflf	gaflf
xt┤	3	14	pretext	sierlyckxt	taxt
├48┤	1	14	48
ho┤	8	14	Taflasoho	Jocho	Rocho
├41┤	1	14	41
├th┤	1	14	th
90┤	9	14	290	390	190
po┤	8	14	Pbilipo	Philippo	Phillippo
├(f┤	1	14	(f
25┤	8	13	1125	244025	125
eh┤	13	13	Radeh	helpeh	sieh
45┤	11	13	/'64145	245	745
eb┤	4	13	heb	constapeb	nodieb
dc┤	10	13	endc	vandc	eyndc
kj┤	5	13	Loockj	Lokj	Lockj
Vi┤	10	13	iVi	6Vi	2Vi
di┤	10	13	Jacdi	sidi	dodi
├V┤	1	13	V
├*┤	1	13	*
├39┤	1	13	39
56┤	9	12	79756	7756	256
^t┤	12	12	soods^t	m^t	affgevaerdi^t
cr┤	9	12	nacr	dacr	sommigcr
├N┤	1	12	N
^4┤	10	12	4772^4	1^4	3^4
si┤	8	12	Bessi	Panasi	nisi
nu┤	5	12	alsnu	.nu	advenu
├sp┤	1	12	sp
if┤	9	12	gelooif	brieif	briefif
^s┤	9	12	Hollandei^s	Tidor^s	Gaybc^s
├87┤	1	12	87
ab┤	3	12	gorab	Nabab	Gab
├43┤	1	12	43
├Vi┤	1	12	Vi
62┤	11	12	32662	67262	2662
.8┤	12	12	14466.5.8	11713.4.8	28617.11.8
├46┤	1	12	46
├K┤	1	12	K
86┤	8	12	28086	186	386
16┤	7	12	416	116	316
├61┤	1	12	61
ix┤	3	12	radix	six	prolix
58┤	7	12	6758	758	358
├Uw┤	1	12	Uw
81┤	11	12	326481	581	881
sj┤	5	12	Bouanbessj	Toloucobessj	Toloucabessj
48┤	11	11	75648	23748	5048
27┤	8	11	252627	327	1327
gs┤	7	11	padangs	langs	tingangs
én┤	10	11	compaignién	£scoursén	gesantén
├zy┤	1	11	zy
├74┤	1	11	74
01┤	6	11	15401	101	401
oi┤	4	11	dooi	vruoi	daeroi
lm┤	2	11	schelm	Helm
wa┤	10	11	Inoffabawa	Sumbawa	lowa
^n┤	10	11	affvaerdig^n	genei^n	san^n
├31┤	1	11	31
├47┤	1	11	47
├57┤	1	11	57
├58┤	1	11	58
eD┤	11	11	cartouweD	meD	cargasoeD
28┤	10	11	228	428	wasden28
88┤	9	11	188	10988	788
64┤	8	11	3064	264	47864
59┤	10	11	459	12159	234I>59
38┤	9	11	338	138	20038
├Wt┤	1	11	Wt
47┤	10	11	2247	547	447
14┤	10	11	24614	20614	2.11.14
24┤	9	11	19524	24724	1324
├ie┤	1	10	ie
sy┤	10	10	Pannassy	Hsy	tingangbsy
fa┤	9	10	Atamossaffa	optreckingfa	lioogfa
06┤	7	10	106	2905306	24406
94┤	9	10	S994	52294	4194
68┤	9	10	5168	3568	168
├Om┤	1	10	Om
34┤	10	10	634	36034	115534
Ue┤	6	10	aUe	foeUe	CapeUe
7a┤	10	10	27a	427a	107a
├54┤	1	10	54
├51┤	1	10	51
├52┤	1	10	52
├l┤	1	10	l
84┤	8	10	33084	284	160084
42┤	6	10	39842	342	9242
82┤	7	10	182	1582	682
ai┤	6	10	soodai	vai	dai
ER┤	2	10	FRATER	BACKER
├pi┤	1	10	pi
99┤	7	9	50799	1799	2099
/4┤	9	9	2544^/4	6^/4	10*/4
├'l┤	1	9	'l
iT┤	7	9	proeiT	aiT	lyiT
gj┤	3	9	Ringj	soumongj	Kingj
91┤	6	9	1991	28891	191
lx┤	2	9	slx	sulx
77┤	8	9	36977	B277	18177
├44┤	1	9	44
MY┤	7	9	CAMY	BONGONOCAMY	INSNOCAMY
├Ë┤	1	9	Ë
18┤	7	9	808920:18	596218	118
52┤	7	9	5249652	252	5152
21┤	7	8	321	821	10621
54┤	8	8	254	74954	2754
44┤	7	8	3244	144	1544
cy┤	3	8	specy	suIcy	Malvescy
├V4┤	1	8	V4
35┤	8	8	235	1635	335
├Vj┤	1	8	Vj
yr┤	4	8	uyr	muyr	meeyr
├Ëd┤	1	8	Ëd
..┤	2	8	....	...
tb┤	3	8	besetb	Vlietb	opgesetb
├By┤	1	8	By
├B┤	1	8	B
ws┤	4	8	cartouws	balouws	nieuws
57┤	6	8	757	5457	157957
├na┤	1	8	na
├33┤	1	8	33
Vs┤	6	8	ISVs	iVs	36Vs
├^^┤	1	8	^^
xa┤	2	8	Orixa	Parixa
├32┤	1	8	32
├62┤	1	8	62
07┤	6	8	1707	427707	107
/^┤	3	8	^/^	"/^	'/^
├Wy┤	1	8	Wy
uv┤	2	8	Gouv	gouv
ON┤	6	8	SIMON	DON	SABROSEYHON
22┤	8	8	47522	822	22422
├56┤	1	8	56
├65┤	1	8	65
gi┤	3	8	Ringi	Pangi	Songi
├82┤	1	8	82
cu┤	4	8	Sutphcu	Jacu	l'Jacu
rL┤	4	8	AniwoorL	AnIwoorL	AntwoorL
ét┤	4	7	mét	staét	tüét
Vj┤	4	7	iVj	1579Vj	2Vj
├55┤	1	7	55
├du┤	1	7	du
├49┤	1	7	49
├/"┤	1	7	/"
^e┤	7	7	(veyns^e	syn^e	go^e
^i┤	5	7	^^i	opcomend^i	waer^i
├IV┤	1	7	IV
iy┤	6	7	fiy	Jmiy	Hcaliy
51┤	5	7	251	351	187951
26┤	4	7	226	15426	126
78┤	6	7	122978	3178	2578
92┤	6	7	7692	54492	192
gy┤	5	7	bogy	songy	soumongy
├>┤	1	7	>
29┤	6	7	329	929	1729
├79┤	1	7	79
39┤	5	7	14839	1639	23539
ko┤	2	7	Nicko	Eecko
├SO┤	1	7	SO
├DE┤	1	7	DE
├j┤	1	7	j
├*s┤	1	7	*s
32┤	6	7	1332	332	108332
yi┤	4	7	tyi	qualiteyi	iyi
├(t┤	1	7	(t
*)┤	1	7	(*)
33┤	5	6	133	1633	150433
lT┤	4	6	brielT	olT	alT
├rf┤	1	6	rf
95┤	6	6	195	57795	65995
's┤	6	6	Limoury's	vooi's	vordei's
├UE┤	1	6	UE
├76┤	1	6	76
yd┤	6	6	overleyd	huyd	suyd
OO┤	5	6	IBOO	BOO	lOOO
├I┤	1	6	I
.9┤	6	6	/'944.9	1964.9	216481.9
ok┤	4	6	voornamentlyok	wierook	oook
V2┤	6	6	7V2	6V2	IV2
├'S┤	1	6	'S
V4┤	6	6	*V4	17V4	7V4
├(e┤	1	6	(e
uc┤	5	6	Poucelouc	Souarcelouc	Moluc
├*l┤	1	6	*l
├81┤	1	6	81
Va┤	3	6	2007Va	IVa	iVa
67┤	6	6	24967	6295367	267
85┤	6	6	12085	13185	54985
tu┤	5	6	Panciapatu	Arrapatu	Spiritu
├-┤	1	6	-
hi┤	6	6	shi	Cominosehi	versochi
├W┤	1	6	W
61┤	4	6	561	161	1061
46┤	6	6	146	153846	4946
:3┤	6	6	4176:5:3	2:9:3	43711:1:3
wy┤	4	6	datwy	Narsanewy	Kitsanewy
├Z┤	1	6	Z
├92┤	1	6	92
66┤	5	6	819466	966	866
├k┤	1	6	k
├\┤	1	6	\
76┤	6	6	576	3076	31076
89┤	5	6	789	1489	289
├za┤	1	6	za
31┤	4	6	545331	731	231
dë┤	1	6	uytvoerendë
:2┤	5	5	13:2	13054:8:2	/^45089:2:2
rk┤	4	5	Draerk	werk	sterk
├95┤	1	5	95
09┤	5	5	209	6009	2609
63┤	5	5	1263	1063	8563
ky┤	5	5	Ballacky	Minalaky	Lauky
├BO┤	1	5	BO
├®┤	1	5	®
?]┤	1	5	[?]
36┤	5	5	436	2236	Ö17436
├yl┤	1	5	yl
eH┤	5	5	straffeH	NaeH	ommeH
gt┤	4	5	volgt	onbeschadigt	brengt
dé┤	5	5	endé	vandé	reedé
├e┤	1	5	e
73┤	5	5	2673	/*4773	273
id┤	1	5	David
.4┤	5	5	8088.4	68098.4	116419.6.4
')┤	1	5	(')
├T┤	1	5	T
├77┤	1	5	77
SO┤	1	5	ISO
├Hy┤	1	5	Hy
7i┤	4	5	I7i	77i	313257i
71┤	5	5	114271	72271	871
├Sy┤	1	5	Sy
xs┤	5	5	insgelycxs	volcxs	naulycxs
eü┤	5	5	eylandeü	denselveü	verlooreü
├66┤	1	5	66
17┤	5	5	617	3917	114271:17
43┤	4	5	243	191343	443
65┤	5	5	15165	765	265
04┤	3	5	104	504	7404
49┤	4	5	849	149	449
├Ex┤	1	5	Ex
├uy┤	1	5	uy
az┤	2	5	Vaz	Trimelevaz
EN┤	5	5	SEBASTIAEN	LONDEN	ARTYGULEN
:6┤	5	5	10:1:6	157985:6	2:6
:1┤	5	5	5850:5:1	508165:1	248232:5:1
53┤	5	5	653	1653	153
ph┤	2	5	Sieph	triumph
08┤	4	5	6008	108	118508
├St┤	1	5	St
├Vs┤	1	5	Vs
├72┤	1	5	72
03┤	3	5	103	22203	603
ds┤	5	5	reeds	hondds	gilliods
├an┤	1	5	an
:8┤	4	4	10:8	80^18:11:8	167607:18:8
├ja┤	1	4	ja
yk┤	4	4	bedenckelyk	namentlyk	punctuelyk
pl┤	4	4	vreempl	vergeselschapl	picipl
98┤	4	4	8598	1298	173498
├o┤	1	4	o
55┤	3	4	355	155	955
FF┤	3	4	BRIEFF	BHIEFF	BRIËFF
├R┤	1	4	R
rg┤	3	4	mortierg	Middelburg	Reynsbnrg
np┤	4	4	Tonp	Cknnp	cornp
py┤	3	4	Sopy	clampspy	Tapy
Uo┤	3	4	NousateUo	GambeUo	diUo
├è┤	1	4	è
eq┤	4	4	wareq	Bancoeq	moeteq
ss┤	2	4	pass	Thyss
├er┤	1	4	er
19┤	2	4	219	519
├84┤	1	4	84
├IB┤	1	4	IB
├V2┤	1	4	V2
├86┤	1	4	86
*s┤	3	4	vooi*s	mitsgadei*s	Wassenaei*s
yS┤	1	4	MayS
^l┤	4	4	P^^l	pi<^l	dew^l
.1┤	4	4	8820.1	304838.3.1	/*11104.18.1
├67┤	1	4	67
ji┤	4	4	sekereji	sameji	gecomeji
B0┤	3	4	3B0	2B0	4B0
├*T┤	1	4	*T
93┤	2	4	28493	193
├63┤	1	4	63
èn┤	4	4	aèn	cargasoèn	maeckèn
├0┤	1	4	0
uo┤	4	4	Inuo	Equo	huo
my┤	3	4	Jeckonocamy	Jeckennocamy	Bermy
GO┤	3	4	RODRIGO	DOMINGO	DIEGO
TO┤	3	4	TABATO	BENTO	SleiTO
ES┤	4	4	DERAES	FREES	ANDREES
AN┤	4	4	JÜAN	TAYOUAN	TAYOÜAN
├*i┤	1	4	*i
mi┤	3	4	Cocqmi	hmi	Houmi
97┤	4	4	1697	297	497
ig┤	4	4	noodig	Rodrig	eenig
├ly┤	1	4	ly
96┤	2	4	296	696
├97┤	1	4	97
├'i┤	1	4	'i
ud┤	3	4	soud	Bitghioud	oud
7S┤	3	4	47S	17S	37S
ki┤	3	4	Bincki	Laacki	Locki
^1┤	3	4	6^1	1^1	34^1
├2S┤	1	4	2S
ah┤	1	4	Perah
ml┤	3	4	geraeml	coml	becoml
^)┤	1	4	(^)
/2┤	4	4	2'/2	14'/2	P/2
├v┤	1	3	v
├1B┤	1	3	1B
ïs┤	3	3	scliïs	salempouiïs	deselfïs
├fi┤	1	3	fi
├T'┤	1	3	T'
pp┤	1	3	Capp
ér┤	3	3	eerstér	pér	naér
nE┤	3	3	synE	bleeiïsynE	SynE
Ua┤	3	3	XuUa	oUa	ToUa
lF┤	3	3	olF	bleelF	hoflF
├y┤	1	3	y
├69┤	1	3	69
)e┤	3	3	hebl)e	l)e	I)e
js┤	3	3	vyjs	wijs	ajs
├^2┤	1	3	^2
og┤	3	3	nog	Hoog	hoog
├71┤	1	3	71
.6┤	3	3	18273.8.6	67962.15.6	26218.16.6
(K┤	2	3	2(K	3(K
We┤	3	3	denseWe	seWe	sSWe
jn┤	3	3	zijn	tjn	sjn
yf┤	3	3	fugityf	vyf	Mayf
├io┤	1	3	io
├IK┤	1	3	IK
├iV┤	1	3	iV
bl┤	3	3	gewicbl	rccbl	jaobl
aj┤	3	3	Siaj	Tommagaj	Maj
├Sr┤	1	3	Sr
.7┤	3	3	/*6132.7	268933.4.7	479.7
├64┤	1	3	64
69┤	3	3	469	158969	52269
├93┤	1	3	93
pS┤	3	3	CompS	GompS	oudeCompS
├UI┤	1	3	UI
├78┤	1	3	78
├Do┤	1	3	Do
├|┤	1	3	|
├Ho┤	1	3	Ho
├/•┤	1	3	/•
YS┤	3	3	LOUYS	SORBYS	LOWYS
OS┤	3	3	SANTHOS	CAROS	LANFEROS
├di┤	1	3	di
IE┤	3	3	RESOLUTIE	ORDONNANTIE	SPEGIPIGATIE
DO┤	3	3	CORTADO	ARBARENDO	FERNANDO
IO┤	3	3	ANTONIO	VALERIO	ANTHONIO
RO┤	2	3	GERERO	PEDRO
├)┤	1	3	)
├83┤	1	3	83
*E┤	1	3	d*E
├&┤	1	3	&
Je┤	3	3	souJe	enJe	vanJe
├68┤	1	3	68
of┤	2	3	doof	lof
23┤	1	3	123
kc┤	2	3	dewelckc	Keyserlyckc
├da┤	1	3	da
bi┤	3	3	Nabi	Jambi	Janibi
fT┤	3	3	briefT	afT	gafT
/a┤	2	3	'/a	l'/a
eU┤	3	3	ChoromandeU	conneU	soldaeU
lk┤	3	3	beckbalk	Marschalk	volk
té┤	3	3	Paté	opsichté	compsté
PO┤	3	3	PHILIPPO	PHHiLIPPO	PHILIPO
ij┤	3	3	patcheij	Andragiij	Pataiij
79┤	3	3	279	679	579
83┤	3	3	283	/'1183	34083
├of┤	1	3	of
lc┤	2	3	elc	welc
├7i┤	1	3	7i
├c┤	1	3	c
├ey┤	1	3	ey
├cf┤	1	3	cf
├:8┤	1	3	:8
├EE┤	1	3	EE
cl┤	2	2	reacl	castecl
├ak┤	1	2	ak
├gy┤	1	2	gy
7j┤	2	2	27j	47j
ên┤	2	2	amonitiên	t)ên
kk┤	2	2	vokk	hetwekk
├'I┤	1	2	'I
^0┤	2	2	19*^0	5^0
«n┤	2	2	20«n	3«n
iï┤	2	2	bleeiï	oiï
fy┤	2	2	Mossaffy	Acfy
^o┤	2	2	Dodin^o	Moluc^o
├Te┤	1	2	Te
*t┤	2	2	Spaengiaei*t	Maei*t
rb┤	2	2	superb	versekerb
Qn┤	2	2	vernomQn	zQn
êr┤	2	2	furieusêr	maêr
DJ┤	2	2	PlittiwaDJ	MASSADJ
├ah┤	1	2	ah
lb┤	2	2	omselb	desselflb
├iO┤	1	2	iO
├7a┤	1	2	7a
├i9┤	1	2	i9
├^s┤	1	2	^s
├2B┤	1	2	2B
├X┤	1	2	X
S6┤	2	2	D*0DS6	2S6
aa┤	2	2	waa	vaa
├Ay┤	1	2	Ay
fF┤	2	2	ongeryfF	lofF
├ï┤	1	2	ï
ik┤	2	2	schrik	Hendrik
├Vl┤	1	2	Vl
├8S┤	1	2	8S
├59┤	1	2	59
^y┤	2	2	c^y	v^y
mé┤	1	2	Tomé
/s┤	2	2	'/s	S'/s
├85┤	1	2	85
├La┤	1	2	La
87┤	2	2	13287	187
Ts┤	2	2	vergeefTs	dessellTs
├ts┤	1	2	ts
├&.┤	1	2	&.
.3┤	2	2	304838.3	124028.3
├li┤	1	2	li
├ül┤	1	2	ül
Ls┤	2	2	lanLs	aLs
sf┤	2	2	diensf	meesf
tt┤	2	2	verongelucijtt	comtt
├}┤	1	2	}
